個案編號,補習地區,學生年級,補習科目,每小時學費,每堂時數,每週堂數,特別要求
12342,白石角,中二,英國文學,150－250,1.5,2,
12311,大埔小白鷺村屋,小五,科學，數學（英文）,200－250,2,2,
12294,青衣曉峰園,小二,全科,120,1.5-2,3,女老師 
12267,上水丙崗村,小六,數學,100－180,1,1,有補呈分試經驗，小朋友專注力弱，導師需有耐性
12243,天水圍天耀邨,小一,英文phonics,150－200,1.5,1,女老師，有經驗
12224,青衣青雅苑,中四,bafs（英文）,170－200,1.5,1,
12223,將軍澳中心,中五,物理（英文）,150－200,2,1,
12210,沙田第一城,中三,通識（英文）,150－200,1.5,1,
12209,沙田第一城,中三,生物（英文）,150－200,1.5,1,
12278,大埔新屋家,中一,數學,150－200,1.5,1,男老師，有練習
12287,屯門小欖青泰路富安居,小五,中文，英文,150－200,1.5,3,女老師 
12105,屯門海翠花園,小六,英文,170－200,1.5,1,
11962,又一居,小三,中英數,300-400,2,3,net teacher，can chinese teaching，女老師
12137,海怡半島,中三,經濟（英文）,200－250,1.5,1,男老師
12136,海怡半島,中三,地理（英文）,200－250,1.5,1,男老師
12135,荃灣海之戀,小六,英文，數學,$210-$250,1,2,
12107,筲箕灣,小五,中文，英文,150－160,1.5,1,
12044,香港仔中心,小四,英文,$130-$160,1.5,1,女老師，學生係男仔，需有耐性
11817,大埔富善邨,小四,中文，英文,150－200,1.5,1,女老師 
12202,元朗屏山洪屋花園,小三，中一,全科,$130-$160,1.5-2,2,女老師， 主要補小三，中一考試前先補
